,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
223,"['Henry Fonda', 'Jane Darwell', 'John Carradine']",John Ford,https://www.imdb.com//title/tt0032551/,1940,224,8.0,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",The Grapes of Wrath
224,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']",Peter Weir,https://www.imdb.com//title/tt0097165/,1989,225,8.0,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,Dead Poets Society
225,"['Li Gong', 'Jingwu Ma', 'Saifei He']",Yimou Zhang,https://www.imdb.com//title/tt0101640/,1991,226,8.0,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Da hong deng long gao gao gua
226,"['Humphrey Bogart', 'Mary Astor', 'Gladys George']",John Huston,https://www.imdb.com//title/tt0033870/,1941,227,8.0,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",The Maltese Falcon
227,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']",James Cameron,https://www.imdb.com//title/tt0088247/,1984,228,8.0,"A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.",The Terminator
228,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi']",Richard Attenborough,https://www.imdb.com//title/tt0083987/,1982,229,8.0,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.",Gandhi
229,"['Min-hee Kim', 'Jung-woo Ha', 'Jin-Woong Cho']",Chan-wook Park,https://www.imdb.com//title/tt4016934/,2016,230,8.0,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Ah-ga-ssi
230,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",Mathieu Kassovitz,https://www.imdb.com//title/tt0113247/,1995,231,8.0,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,La haine
231,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell']",Richard Kelly,https://www.imdb.com//title/tt0246578/,2001,232,8.0,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",Donnie Darko
232,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu']",Kar-Wai Wong (as Kar Wai Wong),https://www.imdb.com//title/tt0118694/,2000,233,8.0,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Faa yeung nin wa
